trained_on,model,kolektor_auc
bottle,CAE,0.6374364449867805
bottle,VAE,
bottle,DAE,0.6093654667480171
grid,CAE,0.690095586739882
grid,VAE,
grid,DAE,0.6875838926174497
metal_nut,CAE,0.6220256253813301
metal_nut,VAE,
metal_nut,DAE,0.6171954443766524
tile,CAE,0.6488204189546471
tile,VAE,0.5317266625991458
tile,DAE,0.5751677852348993
wood,CAE,0.6624364449867804
wood,VAE,
wood,DAE,0.651647345942648
carpet,CAE,0.6646329062436445
carpet,VAE,0.5358043522473052
carpet,DAE,0.682468985153549
leather,CAE,0.6683343502135448
leather,VAE,0.5322656091112467
leather,DAE,0.6462578808216393
