category,VAE_AUC,DAE_AUC
bottle,0.4571428571428572,0.5373015873015873
cable,0.4025487256371813,0.4643928035982009
capsule,0.5895492620662146,0.4658954926206621
carpet,0.2504012841091492,0.3318619582664526
grid,0.4995822890559733,0.8696741854636593
hazelnut,0.3260714285714285,0.8878571428571429
leather,0.2384510869565217,0.3885869565217391
metal_nut,0.6725317693059629,0.2683284457478005
pill,0.4080741953082379,0.762138570649209
screw,1.0,0.9858577577372414
tile,0.3881673881673881,0.8077200577200577
toothbrush,0.7111111111111111,0.6499999999999999
transistor,0.4004166666666666,0.445
wood,0.3596491228070175,0.962280701754386
zipper,0.4414390756302521,0.4873949579831932
